timestamp,employer,location,job_title,years_at_employer,years_of_experience,salary,signing_bonus,annual_bonus,annual_stock_bonus,gender,additional_comments
2016-03-21 13:37:00,Microsoft,"Seattle, WA",Software Development Engineer,10.0,10.0,190000.0,0.0,65000.0,68000.0,Male,
2016-03-21 13:37:00,Interactive Development Agency,Salt Lake City,Software Developer,2.0,2.0,60000.0,0.0,0.0,0.0,Male,
2016-03-21 13:37:00,Popsugar,"San francisco, ca",Senior software engineer,1.0,12.0,135000.0,0.0,0.0,0.0,Male,
2016-03-21 13:37:00,Facebook,Menlo Park,Software Engineer,1.0,3.0,152000.0,22000.0,15000.0,80000.0,Male,
2016-03-21 13:38:00,,,Sr. Software Architect,1.0,11.0,140000.0,0.0,10000.0,0.0,Male,
2016-03-21 13:38:00,Google,London,Web Solutions Engineer,4.0,8.0,88000.0,0.0,15000.0,35000.0,Male,WSE is not a SWE
2016-03-21 13:38:00,EPAM Systems Inc,Mountain View,Lead Software Engineer,2.0,5.0,130000.0,0.0,20000.0,0.0,Male,
2016-03-21 13:38:00,,Philadelphia,Software Engineer,1.0,3.0,78000.0,5000.0,3000.0,0.0,Male,
2016-03-21 13:38:00,Google,Mountain View,Analyst,4.0,7.0,101000.0,7500.0,15000.0,50000.0,Male,
2016-03-21 13:38:00,Private,"Stuart, FL",Web Developer,2.0,10.0,75000.0,0.0,0.0,0.0,Male,
2016-03-21 13:39:00,,Boston,Product Manager,1.0,5.0,125000.0,0.0,10000.0,0.0,Male,
2016-03-21 13:39:00,Facebook,Menlo Park,Software Engineering Intern,0.0,1.0,96000.0,0.0,0.0,0.0,Male,
2016-03-21 13:39:00,,"Portland, OR",Software Developer,1.0,2.0,88000.0,3000.0,3000.0,0.0,Female,
2016-03-21 13:39:00,,,Senior Software Engineer,1.0,5.0,170000.0,0.0,30000.0,0.0,Male,
2016-03-21 13:39:00,BK Engineering,NC,Software Engineer,4.0,4.0,90000.0,5000.0,8000.0,0.0,Male,
2016-03-21 13:39:00,,"Windsor, Ontario; Canada",Systems Administrator,3.0,10.0,55000.0,0.0,0.0,0.0,Male,
2016-03-21 13:39:00,,"Toronto, Ontario",Software Developer,4.0,16.0,140000.0,0.0,0.0,0.0,Male,
2016-03-21 13:39:00,Anon,Los Angeles,Software Developer,1.0,2.0,60000.0,0.0,0.0,0.0,Male,
2016-03-21 13:39:00,LivePerson,"Atlanta, Georgia",DevOps Engineer,1.0,1.0,46999.0,0.0,0.0,0.0,Male,
